ticker
RELIANCE.NS
TCS.NS
INFY.NS
HDFCBANK.NS
ICICIBANK.NS
SBIN.NS
LT.NS
ITC.NS
BHARTIARTL.NS
KOTAKBANK.NS
AXISBANK.NS
MARUTI.NS
SUNPHARMA.NS
ULTRACEMCO.NS
TITAN.NS
BAJFINANCE.NS
ASIANPAINT.NS
NESTLEIND.NS
POWERGRID.NS
NTPC.NS
ONGC.NS
COALINDIA.NS
TATAMOTORS.NS
M&M.NS
WIPRO.NS
TECHM.NS
HCLTECH.NS
ADANIPORTS.NS
ADANIENT.NS
BEL.NS
HAL.NS
BDL.NS
COCHINSHIP.NS
IRFC.NS
IREDA.NS
TATAPOWER.NS
SUZLON.NS
VEDL.NS
VBL.NS
GOLDBEES.NS
NIFTYBEES.NS
BSE.NS
MCX.NS
PFC.NS
RECLTD.NS
INDIGO.NS
DLF.NS
LODHA.NS
POLYCAB.NS
DIXON.NS
PERSISTENT.NS
KPITTECH.NS
CDSL.NS
ANGELONE.NS
AUBANK.NS
FEDERALBNK.NS
CANBK.NS
PNB.NS
UNIONBANK.NS
BANKBARODA.NS
IDFCFIRSTB.NS
MUTHOOTFIN.NS
PAGEIND.NS
TRENT.NS
ZOMATO.NS
SWIGGY.NS
NYKAA.NS
PAYTM.NS
JUBLFOOD.NS
APOLLOHOSP.NS
MAXHEALTH.NS
FORTIS.NS
LUPIN.NS
AUROPHARMA.NS
BIOCON.NS
ABB.NS
SIEMENS.NS
CUMMINSIND.NS
BHEL.NS
CGPOWER.NS
KEI.NS
SKFINDIA.NS
ESCORTS.NS
ASHOKLEY.NS
TVSMOTOR.NS
HEROMOTOCO.NS
EICHERMOT.NS
BAJAJ-AUTO.NS
PIDILITIND.NS
BERGEPAINT.NS
HAVELLS.NS
VOLTAS.NS
BLUESTARCO.NS
GODREJCP.NS
DABUR.NS
COLPAL.NS
MARICO.NS
TATACONSUM.NS
UBL.NS
MCDOWELL-N.NS
AMBUJACEM.NS
SHREECEM.NS
ACC.NS
RAMCOCEM.NS
NMDC.NS
HINDALCO.NS
JSWSTEEL.NS
TATASTEEL.NS
SAIL.NS
JINDALSTEL.NS
